ANÁLISIS ESTADÍSTICO DE CONNACIONALES
Personas entre 25 y 40 años
============================================================

Cantidad de registros analizados: 590,879

ESTADÍSTICAS CUANTITATIVAS
------------------------------------------------------------
   Variable      N     Media  Mediana Moda  Mínimo  Q1 (25%)  Q2 (50%)  Q3 (75%)  Máximo  Percentil 10  Percentil 90  Rango  Varianza  Desviación estándar  Coeficiente de variación (%)
Edad (años) 590879 33.138946     33.0   34      25      30.0      33.0      37.0      40          27.0          39.0     15 18.806062             4.336596                     13.086101

TABLA DE FRECUENCIA DE EDAD
------------------------------------------------------------
 Edad  Frecuencia absoluta  Frecuencia relativa  Porcentaje (%)  Frecuencia acumulada
   25                23045             0.039001        3.900122                 23045
   26                25046             0.042388        4.238770                 48091
   27                26377             0.044640        4.464027                 74468
   28                30978             0.052427        5.242698                105446
   29                35255             0.059665        5.966535                140701
   30                38127             0.064526        6.452590                178828
   31                40272             0.068156        6.815609                219100
   32                40701             0.068882        6.888212                259801
   33                42365             0.071698        7.169827                302166
   34                43420             0.073484        7.348374                345586
   35                42829             0.072484        7.248354                388415
   36                43110             0.072959        7.295910                431525
   37                41269             0.069843        6.984340                472794
   38                39810             0.067374        6.737420                512604
   39                38879             0.065799        6.579858                551483
   40                39396             0.066674        6.667355                590879
